ragione_sociale;partita_iva;codice_fiscale;indirizzo;citta;forma_giuridica;codice_ateco;descrizione_ateco;fatturato;anno_fatturato;utile;anno_utile;costo_personale;anno_costo_personale;n_dipendenti;stato_attivita;link
VALVITAL SOCIETA' PER AZIONI;00527810014;00527810014;Via Circonvallazione, 7 - Aglie' ( TO );Aglie';Societa' per azioni;28.15.1;Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli);33.036.923;2023;849.472;2023;4.961.616;2023;da 50 a 99;Attiva;https://www.companyreports.it/valvital-societa-per-azioni-00527810014
G.C. INFISSI S.R.L.;09527690011;09527690011;Strada Pollino, 4 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;25.12.1;Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici;17.809.497;2023;-794.918;2023;4.293.578;2023;da 50 a 99;Attiva;https://www.companyreports.it/gc-infissi-srl-09527690011
HITHERM SRL;10718970014;10718970014;Strada Provinciale Per Ozegna, 9 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;25.5;"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; Metallurgia delle polveri";13.838.673;2024;758.247;2024;1.891.952;2024;da 20 a 49;Attiva;https://www.companyreports.it/hitherm-srl-10718970014
CMB INDUSTRIES SRL;05327880018;05327880018;Via Circonvallazione, 9 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;25.62;Lavori di meccanica generale;10.037.242;2023;822.694;2023;3.320.599;2023;da 20 a 49;Attiva;https://www.companyreports.it/cmb-industries-srl-05327880018
CONSORZIO NATURA E ALIMENTA;08689830019;08689830019;Via Circonvallazione, 4 - Aglie' ( TO );Aglie';Consorzio con attivita' esterna;01.62.09;Altre attivita' di supporto alla produzione animale (esclusi i servizi veterinari);7.337.241;2023;-209.377;2023;256.592;2023;da 3 a 5;Attiva;https://www.companyreports.it/consorzio-natura-e-alimenta-08689830019
VILLA SANT'ANNA S.R.L.;00966380016;00966380016;Regione Florera, 8 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;55.1;Alberghi e strutture simili;1.649.912;2024;14.633;2024;772.595;2024;da 20 a 49;Registrata;https://www.companyreports.it/villa-sant-anna-srl-00966380016
OBERTO*PLAST -S.R.L.;05003880019;05003880019;Via Molini, 34 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;38.32.2;Recupero e preparazione per il riciclaggio di materiale plastico per produzione di materie prime plastiche  resine sintetiche;1.085.810;2023;-147.494;2023;195.366;2023;da 6 a 9;Attiva;https://www.companyreports.it/oberto-plast-srl-05003880019
MONICAEDARIO.NET SRL;11279220013;11279220013;Cascine Ricco, 4 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;70.22.09;Altre attivita' di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;1.038.328;2023;-8.039;2023;;;da 3 a 5;Attiva;https://www.companyreports.it/monicaedarionet-srl-11279220013
INNERGLASS S.R.L.;10498200012;10498200012;Via Circonvallazione, 7/A - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata con unico socio;23.1;Fabbricazione di vetro e prodotti in vetro;951.644;2024;-59.691;2024;269.955;2024;da 6 a 9;Attiva;https://www.companyreports.it/innerglass-srl-10498200012
AGE CONSORZIO FRA COOPERATIVE SOCIALI - SOCIETA' COOPERATIVA SOCIALE - ONLUS;10657130018;10657130018;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;63.11.1;Elaborazione dati;;;;;;;;;https://www.companyreports.it/age-consorzio-fra-cooperative-sociali-societa-cooperativa-sociale-onlu-10657130018
PRONTO TOURS ITALIA S.R.L.;08021390011;08021390011;Piazza D'armi, 2 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;79.11;Attivita' delle agenzie di viaggio;746.260;2023;7.901;2023;25.981;2023;da 3 a 5;Attiva;https://www.companyreports.it/pronto-tours-italia-srl-08021390011
COOPERATIVA SOCIALE OPERAM LOCO;11649630016;11649630016;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;52.21.9;Altre attivita' connesse ai trasporti terrestri nca;;;;;;;;;https://www.companyreports.it/cooperativa-sociale-operam-loco-11649630016
DARIOEMONICA.NET S.R.L.;12802440011;12802440011;Cascine Ricco, 4 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;70.22.09;Altre attivita' di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;419.069;2023;117.947;2023;38;2023;Stato Attività Attiva Condividi + MAGGIORI INFO su Darioemonica.net S.r.l. Codice Fiscale 12802440011 Forma giuridica Societa' a responsabilita' limitata Codice Ateco 70.22.09 Attività prevalente Altre attivita' di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale Fondazione 16/01/2023 CamCom TO REA 1317496 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Cura l'immagine aziendale con un gesto semplice ma efficace. Attiva un Numero Verde e fai la differenza. Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Attiva;https://www.companyreports.it/darioemonicanet-srl-12802440011
CERIM MULTISERVICE S.R.L.;09361180012;09361180012;Via Circonvallazione, 9 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;68.1;Compravendita di beni immobili effettuata su beni propri;201.566;2023;60.181;2023;;;Stato Attività Attiva Condividi + MAGGIORI INFO su Cerim Multiservice S.r.l. Codice Fiscale 09361180012 Forma giuridica Societa' a responsabilita' limitata Codice Ateco 68.1 Attività prevalente Compravendita di beni immobili effettuata su beni propri Fondazione 27/04/2006 CamCom TO REA 1045306 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Il Numero Verde è la scelta di chi mette i clienti al primo posto. Scopri tutti i vantaggi su NumeroVerde.COM Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Attiva;https://www.companyreports.it/cerim-multiservice-srl-09361180012
VDL GREEN ENERGY S.R.L.;12917170016;12917170016;Strada Per Cuceglio, 116 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;46.69.2;Commercio all'ingrosso di materiale elettrico per impianti di uso industriale;96.629;2024;12.094;2024;;;Stato Attività Attiva Condividi + MAGGIORI INFO su Vdl Green Energy S.r.l. Codice Fiscale 12917170016 Forma giuridica Societa' a responsabilita' limitata Codice Ateco 46.69.2 Attività prevalente Commercio all'ingrosso di materiale elettrico per impianti di uso industriale Fondazione 02/08/2023 CamCom TO REA 1325862 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Fatturato in crescita? Completa il tuo successo con un contatto che trasmette solidità. Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Attiva;https://www.companyreports.it/vdl-green-energy-srl-12917170016
RICH S.R.L.;11432030010;11432030010;Strada Provinc. Per Cuceglio, 116 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;32.99.9;Fabbricazione di altri articoli nca;66.168;2021;-62.481;2021;;;da 10 a 15;Attiva;https://www.companyreports.it/rich-srl-11432030010
ESTRELLITA S.R.L. IMPRESA SOCIALE;11813400014;11813400014;Piazza D'armi, 2 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;85.59.2;Corsi di formazione e corsi di aggiornamento professionale;57.959;2023;-6.532;2023;;;2;Attiva;https://www.companyreports.it/estrellita-srl-impresa-sociale-11813400014
AGLIE' VALLE SACRA S.R.L. SOCIETA' SPORTIVA DILETTANTISTICA A RES PONSABILITA' LIMITATA;11751620011;92522010013;Via Meleto, 2/A - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;93.12;Attivita' di club sportivi;53.155;2024;1.714;2024;;;Stato Attività Attiva Condividi + MAGGIORI INFO su Aglie' Valle Sacra S.r.l. Societa' Sportiva Dilettantistica A Res Ponsabilita' Limitata Codice Fiscale 92522010013 Forma giuridica Societa' a responsabilita' limitata Codice Ateco 93.12 Attività prevalente Attivita' di club sportivi Fondazione 13/07/2017 CamCom TO REA 1238250 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Trasmetti professionalità e fiducia. Un Numero Verde è un contatto chiaro, gratuito e immediato. Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Attiva;https://www.companyreports.it/aglie-valle-sacra-srl-societa-sportiva-dilettantistica-a-res-ponsabili-92522010013
DELFISOFT SRL;13121980018;13121980018;Cascine Ricco, 4 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;62.01;Produzione di software non connesso all'edizione;15.000;2024;2.982;2024;1.320;2024;Stato Attività Attiva Condividi + MAGGIORI INFO su Delfisoft Srl Codice Fiscale 13121980018 Forma giuridica Societa' a responsabilita' limitata Codice Ateco 62.01 Attività prevalente Produzione di software non connesso all'edizione Fondazione 18/09/2024 CamCom TO REA 1340587 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Un Numero Verde è un segno di affidabilità e serietà. Scopri come valorizza la tua azienda. Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Attiva;https://www.companyreports.it/delfisoft-srl-13121980018
AREA ENERGY S.R.L. IN LIQUIDAZIONE;03205780210;03205780210;Via Roma, 5 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;74.90.93;Altre attivita' di consulenza tecnica nca;15.000;2023;4.189;2023;;;Stato Attività Inattiva Condividi + MAGGIORI INFO su Area Energy S.r.l. In Liquidazione Codice Fiscale 03205780210 Forma giuridica Societa' a responsabilita' limitata Codice Ateco 74.90.93 Attività prevalente Altre attivita' di consulenza tecnica nca Fondazione 07/02/2025 CamCom TO REA 1333258 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Fatturato in crescita? Completa il tuo successo con un contatto che trasmette solidità. Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Inattiva;https://www.companyreports.it/area-energy-srl-in-liquidazione-03205780210
REVELLO ASSOCIATI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;12181210019;12181210019;Via Contini, 6 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata semplificata;74.90.99;Altre attivita' professionali nca;8.000;2024;1.122;2024;65;2024;Stato Attività Attiva Condividi + MAGGIORI INFO su Revello Associati Societa' A Responsabilita' Limitata Semplificata Codice Fiscale 12181210019 Forma giuridica Societa' a responsabilita' limitata semplificata Codice Ateco 74.90.99 Attività prevalente Altre attivita' professionali nca Fondazione 03/10/2019 CamCom TO REA 1270779 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Un Numero Verde è un segno di affidabilità e serietà. Scopri come valorizza la tua azienda. Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Attiva;https://www.companyreports.it/revello-associati-societa-a-responsabilita-limitata-semplificata-12181210019
ZUBANI PIETRO;10430340017;;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;46.18.97;Agenti e rappresentanti di altri prodotti non alimentari nca (inclusi gli imballaggi e gli articoli antinfortunistici  antincendio e pubblicitari);;;;;;;;;https://www.companyreports.it/zubani-pietro-zbnptr65m23c133t
Romano Ivo;;;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;;;;;;;;;;;https://www.companyreports.it/romano-ivo-rmnvio53d04g202m
Gedda Simonetta;;;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;;;;;;;;;;;https://www.companyreports.it/gedda-simonetta-gddsnt68l48e379p
Magi   Societa' Semplice;;;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;;;;;;;;;;;https://www.companyreports.it/magi-societa-semplice-96501010019
Va.ma. Gest. Societa' Semplice;;;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;;;;;;;;;;;https://www.companyreports.it/vama-gest-societa-semplice-92509170012
Immobiliare Carlotta - Societa' Semplice;;;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;;;;;;;;;;;https://www.companyreports.it/immobiliare-carlotta-societa-semplice-92504450013
Boccarossa Societa' Semplice;;;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;;;;;;;;;;;https://www.companyreports.it/boccarossa-societa-semplice-92500450017
Domus Siderea - Societa' Semplice;;;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;;;;;;;;;;;https://www.companyreports.it/domus-siderea-societa-semplice-83502970011
R.I.E. IMPIANTI SRL;13294750016;13294750016;Via Cascina Gerbola, 10 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione);;;;;;;Stato Attività Attiva Condividi + MAGGIORI INFO su R.i.e. Impianti Srl Codice Fiscale 13294750016 Forma giuridica Societa' a responsabilita' limitata Codice Ateco 43.21.01 Attività prevalente Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione) Fondazione 29/07/2025 CamCom TO REA 1353172 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Fidelizza e conquista nuovi clienti. Offri un Numero Verde e guadagna in credibilità. Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Attiva;https://www.companyreports.it/rie-impianti-srl-13294750016
ALPA1971 S.R.L.;13136450015;13136450015;Via Per Cuceglio, 15 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;41.2;Costruzione di edifici residenziali e non residenziali;;;;;;;Stato Attività Inattiva Condividi + MAGGIORI INFO su Alpa1971 S.r.l. Codice Fiscale 13136450015 Forma giuridica Societa' a responsabilita' limitata Codice Ateco 41.2 Attività prevalente Costruzione di edifici residenziali e non residenziali Fondazione 18/10/2024 CamCom TO REA 1341641 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Nazionale, gratuito, professionale. Il Numero Verde parla di te. Scopri tutti i vantaggi su NumeroVerde.COM Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Inattiva;https://www.companyreports.it/alpa1971-srl-13136450015
B.L.Y. FARM 2.0 SAS DI GAROFALO JLENIA & C.;13055670015;13055670015;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;49.41;Trasporto di merci su strada;;;;;;;;;https://www.companyreports.it/bly-farm-20-sas-di-garofalo-jlenia-c-13055670015
BLUGEKO S.R.L.;13030890019;13030890019;Via Per Cuceglio, SNC - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;70.22.09;Altre attivita' di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;;;;;;;Stato Attività Attiva Condividi + MAGGIORI INFO su Blugeko S.r.l. Codice Fiscale 13030890019 Forma giuridica Societa' a responsabilita' limitata Codice Ateco 70.22.09 Attività prevalente Altre attivita' di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale Fondazione 01/03/2024 CamCom TO REA 1333812 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Un Numero Verde è un segno di affidabilità e serietà. Scopri come valorizza la tua azienda. Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Attiva;https://www.companyreports.it/blugeko-srl-13030890019
JVD SAS DI ZANA MARCO;12973950012;12973950012;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;43.91;Realizzazione di coperture;;;;;;;;;https://www.companyreports.it/jvd-sas-di-zana-marco-12973950012
ZD SAS DI ZANA DIEGO;12973940013;12973940013;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;43.91;Realizzazione di coperture;;;;;;;;;https://www.companyreports.it/zd-sas-di-zana-diego-12973940013
TU SEI S.R.L.;12953380016;12953380016;Strada Privata Bioletto, 31 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;47.91.1;Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet;;;;;;;1;Attiva;https://www.companyreports.it/tu-sei-srl-12953380016
H2BA CONSULTING S.A.S. DI PAOLO MARCHETTO E C.;12866690014;12866690014;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;62.02;Consulenza nel settore delle tecnologie dell'informatica;;;;;;;;;https://www.companyreports.it/h2ba-consulting-sas-di-paolo-marchetto-e-c-12866690014
LA ROTONDA S.R.L. IMPRESA SOCIALE;12591210013;12591210013;Borgata Santa Maria, 42 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;87.2;Strutture di assistenza residenziale per persone affette da ritardi mentali, disturbi mentali o che abusano di sostanze stupefacenti;;;;;;;da 3 a 5;Attiva;https://www.companyreports.it/la-rotonda-srl-impresa-sociale-12591210013
